Date,Gauge,Total Rain / Event
2007-01-04,1,2.13
2007-01-06,1,0.84
2007-01-14,1,3.5
2007-01-15,1,0.42
2007-01-18,1,0.05
2007-01-20,1,0.76
2007-02-01,1,0.29
2007-02-12,1,0.58
2007-02-24,1,0.55
2007-03-01,1,0.1
2007-03-14,1,0.11
2007-04-10,1,0.475
2007-04-14,1,1.35
2007-04-17,1,0.07
2007-04-25,1,0.72
2007-05-03,1,0.76
2007-06-19,1,2.82
2007-06-28,1,0.87
2007-07-01,1,0.33
2007-07-06,1,3
2007-07-09,1,0.55
2007-07-11,1,1.02
2007-07-13,1,1.6
2007-07-14,1,0.41
2007-07-30,1,0.76
2007-08-29,1,0.084
2007-08-30,1,0.74
2007-09-10,1,0.5
2007-09-13,1,1.9
2007-09-25,1,0.51
2007-10-15,1,1.2
2007-10-17,1,0.96
2007-10-18,1,0.25
2007-10-22,1,0.88
2007-11-14,1,0.6
2007-11-18,1,0.21
2007-11-25,1,1
2007-12-20,1,0.1
2007-12-12,1,0.62
2007-12-15,1,1.1
2007-01-04,2,2.25
2007-01-06,2,0.755
2007-01-14,2,3
2007-01-15,2,0.39
2007-01-18,2,0.05
2007-01-20,2,0.8
2007-02-01,2,0.27
2007-02-12,2,0.57
2007-02-24,2,0.47
2007-03-01,2,0.12
2007-03-14,2,0.11
2007-04-10,2,0.55
2007-04-14,2,1.38
2007-04-17,2,0.07
2007-04-25,2,0.88
2007-05-03,2,0.75
2007-06-19,2,2.69
2007-06-28,2,0.9
2007-07-02,2,0.22
2007-07-06,2,2.7
2007-07-09,2,0.4
2007-07-11,2,0.97
2007-07-13,2,1.39
2007-07-14,2,0.02
2007-07-30,2,0.63
2007-08-29,2,0.45
2007-08-30,2,0.64
2007-09-10,2,0.1
2007-09-13,2,1.96
2007-09-25,2,0.37
2007-10-15,2,1.03
2007-10-17,2,0.74
2007-10-18,2,0.24
2007-10-22,2,0.85
2007-10-25,2,0.4
2007-11-14,2,0.5
2007-11-18,2,0.2
2007-11-25,2,0.91
2007-12-02,2,0.06
2007-12-12,2,0.46
2007-12-15,2,0.93
2007-01-04,3,2.42
2007-01-06,3,0.8
2007-01-14,3,3.5
2007-01-15,3,0.42
2007-01-18,3,0.05
2007-01-20,3,0.73
2007-02-01,3,0.29
2007-02-12,3,0.6
2007-02-24,3,0.44
2007-03-01,3,0.15
2007-03-14,3,0.12
2007-04-10,3,0.6
2007-04-14,3,1.5
2007-04-17,3,0.07
2007-04-25,3,0.86
2007-05-03,3,0.95
2007-06-19,3,2.57
2007-06-28,3,1
2007-07-02,3,0.38
2007-07-06,3,3.3
2007-07-09,3,0.49
2007-07-11,3,0.87
2007-07-13,3,1.36
2007-07-14,3,0.35
2007-07-30,3,0.65
2007-08-29,3,0.31
2007-08-30,3,0.95
2007-09-10,3,0.41
2007-09-13,3,2.16
2007-09-25,3,0.5
2007-10-15,3,1.12
2007-10-17,3,0.95
2007-10-18,3,0.14
2007-10-22,3,0.75
2007-10-25,3,0.42
2007-11-14,3,0.6
2007-11-18,3,0.23
2007-11-25,3,1.23
2007-12-02,3,0.17
2007-12-12,3,0.47
2007-12-15,3,1.05
2007-01-04,4,2.08
2007-01-06,4,0.83
2007-01-14,4,4
2007-01-15,4,0.38
2007-01-18,4,0.05
2007-01-20,4,0.72
2007-02-01,4,0.24
2007-02-12,4,0.23
2007-02-24,4,0.2
2007-03-01,4,0.17
2007-03-14,4,0.1
2007-04-10,4,0.4
2007-04-14,4,1.2
2007-04-17,4,0.03
2007-04-25,4,0.72
2007-05-03,4,0.6
2007-06-19,4,3.84
2007-06-28,4,1.76
2007-07-02,4,0.46
2007-07-06,4,3.64
2007-07-09,4,0.46
2007-07-11,4,0.87
2007-07-13,4,1.27
2007-07-13,4,1.58
2007-07-14,4,0.14
2007-07-30,4,0.52
2007-08-29,4,0.01
2007-08-30,4,0.87
2007-09-10,4,0.11
2007-09-13,4,2.25
2007-09-25,4,0.53
2007-10-15,4,1.02
2007-10-17,4,0.89
2007-10-18,4,0.08
2007-10-22,4,0.63
2007-10-25,4,0.03
2007-11-14,4,0.37
2007-11-18,4,0.2
2007-11-25,4,1.6
2007-12-02,4,0.15
2007-12-12,4,0.46
2007-12-15,4,1.11
2007-01-04,5,2.29
2007-01-06,5,0.77
2007-01-14,5,4
2007-01-15,5,0.5
2007-01-18,5,0.05
2007-01-20,5,0.75
2007-02-01,5,0.30
2007-02-12,5,0.53
2007-02-24,5,0.53
2007-03-01,5,0.22
2007-03-14,5,0.16
2007-04-10,5,0.54
2007-04-14,5,1.34
2007-04-17,5,0.08
2007-04-25,5,0.80
2007-05-03,5,1.07
2007-06-19,5,4.19
2007-06-28,5,1.29
2007-07-02,5,0.52
2007-07-06,5,3.3
2007-07-09,5,0.74
2007-07-11,5,0.925
2007-07-14,5,0.42
2007-07-30,5,1.05
2007-08-29,5,0.03
2007-08-30,5,1
2007-09-10,5,0.57
2007-09-13,5,1.46
2007-09-25,5,0.64
2007-10-15,5,1.13
2007-10-17,5,0.99
2007-10-18,5,0.1
2007-10-22,5,0.92
2007-10-25,5,0.44
2007-11-14,5,0.53
2007-11-18,5,0.21
2007-11-25,5,1.45
2007-12-02,5,0.17
2007-12-12,5,0.66
2007-12-15,5,0.94
